>>>>>>>>>>>>>>>>>>
Selected device:0
<<<<<<<<<<<<<<<<<<


device 0 : Quadro K5000
major/minor : 3.0 compute capability
Total global mem : 4294639616 bytes
Shared block mem : 49152 bytes
Max memory pitch : 2147483647 bytes
RegsPerBlock : 65536 
WarpSize : 32 
MaxThreadsPerBlock : 1024 
TotalConstMem : 65536 bytes
ClockRate : 705500 (kHz)
deviceOverlap : 1 
deviceOverlap : 1 
MultiProcessorCount: 8


****************Light Curves Classification****************

Path Training set: dataset/_classification/light_curve_train.txt, length: 1024, n_attrs: 1024 byte_size: 4194304.000000
Path Testing set: dataset/_classification/light_curve_test.txt, length: 2, n_attrs: 1024, byte_size: 8192.000000
Grid_size_x: 1024, number_of_threads_x: 1024 
Grid_size_y: 1, number_of_threads_y: 1 

Distance measure used: rED
0	2	RI : 2	968	10.632990 		 NRI : 2	968	11.469304
1	1	RI : 1	91	2.154565 		 NRI : 1	91	2.443465
2	3	RI : 3	612	2.779024 		 NRI : 3	97	2.886201
3	1	RI : 1	703	3.264198 		 NRI : 1	225	3.709115
4	3	RI : 3	955	2.579208 		 NRI : 3	416	3.416898
5	2	RI : 2	46	3.140824 		 NRI : 2	361	4.910848
6	3	RI : 1	692	3.891857 		 NRI : 1	692	3.895989
7	3	RI : 3	998	5.584600 		 NRI : 3	724	6.054791
8	2	RI : 2	197	3.760072 		 NRI : 2	545	4.557273
9	3	RI : 3	921	2.415422 		 NRI : 3	117	3.469049
10	2	RI : 2	821	3.284954 		 NRI : 2	604	3.735176
11	2	RI : 2	531	1.947154 		 NRI : 2	531	2.348333
12	2	RI : 2	677	10.708888 		 NRI : 2	677	11.203210
13	2	RI : 2	333	5.238165 		 NRI : 2	129	5.377589
14	2	RI : 2	946	6.265737 		 NRI : 2	946	7.308040
15	3	RI : 1	530	4.757183 		 NRI : 1	530	4.936417
16	3	RI : 3	994	3.460428 		 NRI : 3	390	4.424036
17	1	RI : 1	325	1.690149 		 NRI : 1	486	3.317600
18	3	RI : 3	200	4.084004 		 NRI : 3	200	4.862466
19	3	RI : 1	49	3.220206 		 NRI : 1	478	3.927617
20	2	RI : 2	509	5.807662 		 NRI : 2	453	6.286651
21	1	RI : 1	406	0.952973 		 NRI : 1	837	1.595015
22	1	RI : 1	511	2.336639 		 NRI : 1	1020	2.838620
23	3	RI : 1	236	2.876969 		 NRI : 1	236	3.289339
24	3	RI : 1	740	3.415966 		 NRI : 3	920	4.431223
25	3	RI : 3	196	2.335744 		 NRI : 3	515	3.043497
26	3	RI : 3	706	6.221036 		 NRI : 3	506	6.771619
27	2	RI : 2	110	4.800732 		 NRI : 2	407	5.367889
28	1	RI : 1	577	1.988086 		 NRI : 1	846	2.707441
29	1	RI : 3	552	8.354383 		 NRI : 3	552	8.428777
30	3	RI : 3	978	4.666752 		 NRI : 3	978	4.691882
31	3	RI : 3	928	3.198760 		 NRI : 3	234	4.291333
32	3	RI : 3	75	4.300833 		 NRI : 3	888	4.989442
33	3	RI : 3	921	2.824342 		 NRI : 3	57	3.070098
34	3	RI : 3	14	6.844738 		 NRI : 1	750	7.174658
35	3	RI : 3	503	3.767089 		 NRI : 3	900	5.534255
36	1	RI : 1	85	1.302524 		 NRI : 1	913	2.239835
37	1	RI : 3	830	1.945642 		 NRI : 3	910	3.348666
38	2	RI : 2	59	3.901776 		 NRI : 2	59	4.641099
39	3	RI : 3	662	2.424092 		 NRI : 3	561	2.718684
40	3	RI : 1	226	4.719611 		 NRI : 1	794	5.930226
41	2	RI : 2	674	3.721452 		 NRI : 2	831	4.035965
42	3	RI : 3	157	3.274645 		 NRI : 1	587	3.493543
43	3	RI : 3	543	2.548829 		 NRI : 3	346	3.055571
44	3	RI : 3	207	2.973399 		 NRI : 1	486	3.520637
45	1	RI : 1	588	1.825992 		 NRI : 1	760	3.933150
46	1	RI : 1	345	1.518332 		 NRI : 1	351	1.906966
47	3	RI : 1	692	4.177639 		 NRI : 1	656	4.917033
48	2	RI : 2	286	3.303829 		 NRI : 2	286	3.795011
49	2	RI : 2	7	3.380206 		 NRI : 2	874	6.610452
50	2	RI : 2	787	3.183890 		 NRI : 2	765	4.039232
51	3	RI : 3	296	4.868007 		 NRI : 3	296	5.521758
