5401 2
180,-0.3
180,-0.285
180.01,-0.285
180.01,-0.28
180.01,-0.255
180.01,-0.265
180.02,-0.28
180.02,-0.26
180.02,-0.24
180.03,-0.235
180.03,-0.22
180.03,-0.225
180.03,-0.245
180.04,-0.235
180.04,-0.235
180.04,-0.23
180.04,-0.24
180.05,-0.255
180.05,-0.255
180.05,-0.26
180.06,-0.25
180.06,-0.255
180.06,-0.265
180.06,-0.25
180.07,-0.245
180.07,-0.235
180.07,-0.25
180.07,-0.265
180.08,-0.28
180.08,-0.3
180.08,-0.32
180.09,-0.335
180.09,-0.34
180.09,-0.335
180.09,-0.335
180.1,-0.355
180.1,-0.37
180.1,-0.36
180.11,-0.35
180.11,-0.33
180.11,-0.34
180.11,-0.35
180.12,-0.36
180.12,-0.35
180.12,-0.345
180.12,-0.345
180.13,-0.335
180.13,-0.355
180.13,-0.36
180.14,-0.365
180.14,-0.355
180.14,-0.35
180.14,-0.355
180.15,-0.365
180.15,-0.37
180.15,-0.36
180.16,-0.355
180.16,-0.355
180.16,-0.355
180.16,-0.375
180.17,-0.39
180.17,-0.41
180.17,-0.435
180.18,-0.46
180.18,-0.475
180.18,-0.51
180.18,-0.555
180.19,-0.56
180.19,-0.5
180.19,-0.375
180.19,-0.235
180.2,-0.085
180.2,0.105
180.2,0.39
180.21,0.66
180.21,0.865
180.21,0.92
180.21,0.82
180.22,0.505
180.22,0.1
180.22,-0.255
180.22,-0.43
180.23,-0.485
180.23,-0.465
180.23,-0.425
180.24,-0.39
180.24,-0.365
180.24,-0.37
180.24,-0.375
180.25,-0.37
180.25,-0.39
180.25,-0.38
180.26,-0.38
180.26,-0.365
180.26,-0.375
180.26,-0.38
180.27,-0.395
180.27,-0.395
180.27,-0.385
180.28,-0.375
180.28,-0.38
180.28,-0.39
180.28,-0.395
180.29,-0.4
180.29,-0.39
180.29,-0.385
180.29,-0.385
180.3,-0.395
180.3,-0.405
180.3,-0.4
180.31,-0.385
180.31,-0.38
180.31,-0.385
180.31,-0.395
180.32,-0.41
180.32,-0.41
180.32,-0.39
180.32,-0.395
180.33,-0.385
180.33,-0.395
180.33,-0.39
180.34,-0.385
180.34,-0.375
180.34,-0.37
180.34,-0.375
180.35,-0.38
180.35,-0.39
180.35,-0.39
180.36,-0.385
180.36,-0.385
180.36,-0.385
180.36,-0.38
180.37,-0.38
180.37,-0.39
180.37,-0.385
180.38,-0.375
180.38,-0.37
180.38,-0.385
180.38,-0.395
180.39,-0.395
180.39,-0.38
180.39,-0.36
180.39,-0.365
180.4,-0.375
180.4,-0.38
180.4,-0.37
180.41,-0.375
180.41,-0.37
180.41,-0.36
180.41,-0.38
180.42,-0.385
180.42,-0.385
180.42,-0.375
180.43,-0.37
180.43,-0.37
180.43,-0.38
180.43,-0.395
180.44,-0.385
180.44,-0.39
180.44,-0.375
180.44,-0.38
180.45,-0.385
180.45,-0.395
180.45,-0.4
180.46,-0.385
180.46,-0.38
180.46,-0.38
180.46,-0.39
180.47,-0.405
180.47,-0.4
180.47,-0.4
180.47,-0.375
180.48,-0.395
180.48,-0.39
180.48,-0.4
180.49,-0.39
180.49,-0.395
180.49,-0.385
180.49,-0.39
180.5,-0.4
180.5,-0.405
180.5,-0.395
180.51,-0.385
180.51,-0.37
