230 2
247.72,0.025
247.72,0.02
247.72,0.02
247.73,0.025
247.73,0.02
247.74,0.02
247.74,0.015
247.74,0.02
247.75,0.025
247.75,0.025
247.76,0.025
247.76,0.025
247.76,0.025
247.77,0.025
247.77,0.02
247.78,0.025
247.78,0.02
247.78,0.02
247.79,0.025
247.79,0.025
247.8,0.025
247.8,0.025
247.8,0.025
247.81,0.02
247.81,0.02
247.82,0.025
247.82,0.025
247.82,0.02
247.83,0.01
247.83,0.01
247.84,0.015
247.84,0.02
247.84,0.02
247.85,0.03
247.85,0.04
247.86,0.065
247.86,0.08
247.86,0.1
247.87,0.125
247.87,0.12
247.88,0.14
247.88,0.155
247.88,0.155
247.89,0.165
247.89,0.16
247.9,0.14
247.9,0.11
247.9,0.095
247.91,0.08
247.91,0.065
247.92,0.055
247.92,0.045
247.92,0.045
247.93,0.04
247.93,0.04
247.94,0.04
247.94,0.04
247.94,0.04
247.95,0.035
247.95,0.03
247.96,0.03
247.96,0.03
247.96,0.025
247.97,0.025
247.97,0.025
247.98,0.025
247.98,0.02
247.98,0.015
247.99,0.01
247.99,0.01
248,0.01
248,0.01
248,0.005
248.01,0.01
248.01,0.02
248.02,0.055
248.02,0.075
248.02,0.08
248.03,0.07
248.03,0
248.04,-0.05
248.04,-0.055
248.04,0.025
248.05,0.175
248.05,0.27
248.06,0.305
248.06,0.3
248.06,0.285
248.07,0.285
248.07,0.35
248.08,0.43
248.08,0.49
248.08,0.52
248.09,0.54
248.09,0.565
248.1,0.59
248.1,0.61
248.1,0.615
248.11,0.6
248.11,0.56
248.12,0.52
248.12,0.475
248.12,0.405
248.13,0.32
248.13,0.24
248.14,0.175
248.14,0.12
248.14,0.09
248.15,0.07
248.15,0.055
248.16,0.045
248.16,0.04
248.16,0.035
248.17,0.03
248.17,0.03
248.18,0.025
248.18,0.025
248.18,0.025
248.19,0.025
248.19,0.025
248.2,0.025
248.2,0.02
248.2,0.02
248.21,0.02
248.21,0.025
248.22,0.02
248.22,0.01
248.22,0.01
248.23,0.01
248.23,0.005
248.24,0.01
248.24,0.01
248.24,0.01
248.25,0.005
248.25,0
248.26,-0.005
248.26,-0.01
248.26,-0.01
248.27,-0.015
248.27,-0.02
248.28,-0.03
248.28,-0.035
248.28,-0.04
248.29,-0.055
248.29,-0.075
248.3,-0.085
248.3,-0.1
248.3,-0.12
248.31,-0.14
248.31,-0.15
248.32,-0.15
248.32,-0.155
248.32,-0.165
248.33,-0.18
248.33,-0.185
248.34,-0.18
248.34,-0.18
248.34,-0.175
248.35,-0.175
248.35,-0.18
248.36,-0.175
248.36,-0.165
248.36,-0.145
248.37,-0.135
248.37,-0.125
248.38,-0.115
248.38,-0.1
248.38,-0.09
248.39,-0.065
248.39,-0.045
248.4,-0.035
248.4,-0.025
248.4,-0.015
248.41,0
248.41,0.015
248.42,0.025
248.42,0.03
248.42,0.035
248.43,0.045
248.43,0.04
248.44,0.04
248.44,0.04
248.44,0.045
248.45,0.05
248.45,0.05
248.46,0.07
248.46,0.095
248.46,0.1
248.47,0.1
248.47,0.09
248.48,0.09
248.48,0.09
248.48,0.09
248.49,0.09
248.49,0.085
248.5,0.085
248.5,0.095
248.5,0.09
248.51,0.085
248.51,0.085
248.52,0.085
248.52,0.085
248.52,0.075
248.53,0.08
248.53,0.085
248.54,0.085
248.54,0.075
248.54,0.075
248.55,0.075
248.55,0.06
248.56,0.07
248.56,0.07
248.56,0.07
248.57,0.07
248.57,0.07
248.58,0.055
248.58,0.06
248.58,0.055
248.59,0.055
248.59,0.055
248.6,0.06
248.6,0.06
248.6,0.06
248.61,0.06
248.61,0.06
248.62,0.06
248.62,0.06
248.62,0.06
248.63,0.06
248.63,0.06
